metric,key,subkey,value
severity,INFO,,565
severity,CRITICAL,,6
severity,ERROR,,353
program,CRON,total,413
program,CRON,errors,0
program,kernel,total,6
program,kernel,errors,6
program,systemd,total,12
program,systemd,errors,0
program,prog,total,2
program,prog,errors,0
program,sshd,total,491
program,sshd,errors,353
hour,04,errors,4
hour,04,lines,32
hour,10,errors,0
hour,10,lines,24
hour,07,errors,0
hour,07,lines,24
hour,15,errors,0
hour,15,lines,24
hour,00,errors,0
hour,00,lines,23
hour,23,errors,0
hour,23,lines,24
hour,03,errors,341
hour,03,lines,341
hour,11,errors,0
hour,11,lines,24
hour,06,errors,0
hour,06,lines,24
hour,16,errors,0
hour,16,lines,24
hour,09,errors,0
hour,09,lines,24
hour,22,errors,12
hour,22,lines,36
hour,02,errors,0
hour,02,lines,28
hour,12,errors,0
hour,12,lines,24
hour,21,errors,0
hour,21,lines,24
hour,18,errors,0
hour,18,lines,24
hour,05,errors,0
hour,05,lines,24
hour,17,errors,2
hour,17,lines,26
hour,08,errors,0
hour,08,lines,24
hour,14,errors,0
hour,14,lines,24
hour,01,errors,0
hour,01,lines,30
hour,13,errors,0
hour,13,lines,24
hour,20,errors,0
hour,20,lines,24
hour,19,errors,0
hour,19,lines,24
auth_ip,10.0.0.5,attempts,341
auth_ip,10.0.0.5,distinct_users,17
auth_ip,192.168.1.77,attempts,12
auth_ip,192.168.1.77,distinct_users,1
oom,mysqld,,2
oom,python3,,2
oom,unknown,,2
service,The nginx HTTP server,Started,6
service,The nginx HTTP server,Stopping,6
